0.882	17	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-T&forced_prediCAT_snn50_dpg%0.5-T&forced_prediCAT_snn50_orn%0.5-T&svm_phe%0.5-F&forced_prediCAT_snn50_kyn%0.5-F&LEAF_NODE-194
0.857	7	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-F&pHMM_d-val%0.5-T&forced_prediCAT_snn50_leu%0.5-T&pid%62.145-T&pid%54.76-T&pid%46.865-T&pid%44.89-T&pid%41.025-T&pid%40.105-T&LEAF_NODE-431
0.100	753	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-T&forced_prediCAT_snn50_dpg%0.5-T&forced_prediCAT_snn50_orn%0.5-T&svm_phe%0.5-T&svm_trp%0.5-T&svm_aad%0.5-T&svm_bht%0.5-T&forced_prediCAT_snn50_dab%0.5-T&svm_gln%0.5-T&forced_prediCAT_snn50_lys%0.5-T&svm_arg%0.5-T&svm_pip%0.5-T&pHMM_dhb%0.5-T&pHMM_horn%0.5-T&svm_iva%0.5-T&forced_prediCAT_snn50_val%0.5-T&svm_lys%0.5-T&pHMM_orn%0.5-T&pHMM_me-asp%0.5-T&forced_prediCAT_snn50_phe-ac%0.5-T&forced_prediCAT_snn50_ala%0.5-T&forced_prediCAT_snn50_pro%0.5-T&pHMM_cys%0.5-T&pHMM_dhb|sal%0.5-T&prediCAT_4oh-pro%0.5-T&prediCAT_3oh-pro|3oh-4me-pro%0.5-T&prediCAT_4oh-5oh-orn%0.5-T&LEAF_NODE-79
1.000	12	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-T&forced_prediCAT_snn50_dpg%0.5-T&forced_prediCAT_snn50_orn%0.5-T&svm_phe%0.5-T&svm_trp%0.5-T&svm_aad%0.5-T&svm_bht%0.5-T&forced_prediCAT_snn50_dab%0.5-T&svm_gln%0.5-T&forced_prediCAT_snn50_lys%0.5-T&svm_arg%0.5-T&svm_pip%0.5-F&prediCAT_pip%0.5-F&pid%94.01-T&LEAF_NODE-137
1.000	56	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-F&forced_prediCAT_snn50_hpg%0.5-F&pid%91.23-F&LEAF_NODE-290
1.000	35	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-F&forced_prediCAT_snn50_hpg%0.5-T&pid%87.34-T&pid%82.605-T&pid%54.595-F&forced_prediCAT_snn50_no_call%0.5-T&LEAF_NODE-283
0.769	13	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-F&pHMM_d-val%0.5-T&forced_prediCAT_snn50_leu%0.5-T&pid%62.145-T&pid%54.76-T&pid%46.865-T&pid%44.89-F&LEAF_NODE-428
0.932	132	svm_leu%0.5-T&svm_ser%0.5-F&forced_prediCAT_snn50_d-ser%0.5-T&prediCAT_noh-val%0.5-T&pHMM_noh-val%0.5-T&prediCAT_ser%0.5-F&pid%99.81-F&pHMM_leu%0.5-T&LEAF_NODE-497
0.700	10	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-F&pHMM_d-val%0.5-T&forced_prediCAT_snn50_leu%0.5-T&pid%62.145-T&pid%54.76-T&pid%46.865-T&pid%44.89-T&pid%41.025-F&pid%44.35-T&LEAF_NODE-433
0.593	27	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-F&pid%50.855-T&pid%50.245-T&LEAF_NODE-231
