#Index	Parent	Parent_Call	Decision	Threshold
177	38	T	pHMM_aad	0.5
178	38	F	LEAF_NODE	NA
179	177	T	pid	68.43
180	177	F	LEAF_NODE	NA
181	179	T	LEAF_NODE	NA
182	179	F	LEAF_NODE	NA
183	36	T	pid	83.01
184	36	F	LEAF_NODE	NA
185	183	T	pid	58.47
186	183	F	LEAF_NODE	NA
187	185	T	pid	53.675
188	185	F	LEAF_NODE	NA
189	187	T	pid	48.91
190	187	F	LEAF_NODE	NA
191	189	T	LEAF_NODE	NA
192	189	F	LEAF_NODE	NA
193	34	T	pHMM_gly	0.5
194	34	F	LEAF_NODE	NA
195	193	T	pid	60.43
196	193	F	LEAF_NODE	NA
197	195	T	pid	56.865
198	195	F	pid	91.94
199	197	T	pid	44.71
200	197	F	pHMM_trp	0.5
201	199	T	LEAF_NODE	NA
202	199	F	pHMM_phe	0.5
203	202	T	LEAF_NODE	NA
204	202	F	LEAF_NODE	NA
205	200	T	LEAF_NODE	NA
206	200	F	pid	59.94
207	206	T	LEAF_NODE	NA
208	206	F	LEAF_NODE	NA
209	198	T	LEAF_NODE	NA
210	198	F	prediCAT_MP_phe	0.5
211	210	T	LEAF_NODE	NA
212	210	F	LEAF_NODE	NA
213	28	T	pid	66.74
214	28	F	pid	95.555
215	213	T	pid	54.525
216	213	F	LEAF_NODE	NA
217	215	T	LEAF_NODE	NA
218	215	F	LEAF_NODE	NA
219	214	T	pid	80.3
220	214	F	prediCAT_MP_ile	0.5
221	219	T	pid	75.055
222	219	F	LEAF_NODE	NA
223	221	T	LEAF_NODE	NA
224	221	F	prediCAT_SNN_ile	0.5
225	224	T	LEAF_NODE	NA
226	224	F	LEAF_NODE	NA
227	220	T	LEAF_NODE	NA
228	220	F	LEAF_NODE	NA
229	24	T	pid	50.245
230	24	F	pid	99.44
231	229	T	LEAF_NODE	NA
232	229	F	LEAF_NODE	NA
233	26	T	pid	73.385
234	26	F	pHMM_asp	0.5
235	233	T	LEAF_NODE	NA
236	233	F	pid	82.77
237	236	T	LEAF_NODE	NA
238	236	F	LEAF_NODE	NA
239	234	T	LEAF_NODE	NA
240	234	F	LEAF_NODE	NA
241	230	T	pHMM_gly	0.5
242	230	F	prediCAT_SNN_tyr	0.5
243	241	T	pid	49.525
244	241	F	LEAF_NODE	NA
245	243	T	LEAF_NODE	NA
246	243	F	LEAF_NODE	NA
247	242	T	pid	91.94
248	242	F	LEAF_NODE	NA
249	247	T	pHMM_leu	0.5
250	247	F	LEAF_NODE	NA
251	249	T	pHMM_phe	0.5
252	249	F	LEAF_NODE	NA
253	251	T	pid	57.245
254	251	F	LEAF_NODE	NA
255	253	T	LEAF_NODE	NA
256	253	F	pid	71.865
257	256	T	LEAF_NODE	NA
258	256	F	LEAF_NODE	NA
259	22	T	prediCAT_SNN_d-pro	0.5
260	22	F	LEAF_NODE	NA
261	259	T	pid	74.47
262	259	F	pHMM_pro	0.5
263	261	T	pid	64.695
264	261	F	LEAF_NODE	NA
265	263	T	pHMM_pro	0.5
266	263	F	pid	68.065
267	265	T	LEAF_NODE	NA
268	265	F	LEAF_NODE	NA
269	266	T	LEAF_NODE	NA
270	266	F	LEAF_NODE	NA
271	262	T	LEAF_NODE	NA
272	262	F	LEAF_NODE	NA
273	20	T	pid	87.34
274	20	F	pid	91.23
275	273	T	pid	82.605
276	273	F	LEAF_NODE	NA
277	275	T	pid	54.595
278	275	F	pid	84.3
279	277	T	pid	48.815
280	277	F	prediCAT_SNN_no_call	0.5
281	279	T	LEAF_NODE	NA
282	279	F	LEAF_NODE	NA
283	280	T	LEAF_NODE	NA
284	280	F	LEAF_NODE	NA
285	278	T	LEAF_NODE	NA
286	278	F	prediCAT_MP_no_call	0.5
287	286	T	LEAF_NODE	NA
288	286	F	LEAF_NODE	NA
289	274	T	LEAF_NODE	NA
290	274	F	LEAF_NODE	NA
291	18	T	LEAF_NODE	NA
292	18	F	pid	51.875
293	292	T	pid	50.045
294	292	F	prediCAT_MP_asp	0.5
295	293	T	LEAF_NODE	NA
296	293	F	LEAF_NODE	NA
297	294	T	pid	89.41
298	294	F	pid	98.645
299	297	T	LEAF_NODE	NA
300	297	F	LEAF_NODE	NA
301	298	T	LEAF_NODE	NA
302	298	F	LEAF_NODE	NA
303	16	T	pid	44.38
304	16	F	LEAF_NODE	NA
305	303	T	pid	41.975
306	303	F	LEAF_NODE	NA
307	305	T	LEAF_NODE	NA
308	305	F	pid	43.075
309	308	T	LEAF_NODE	NA
310	308	F	LEAF_NODE	NA
311	14	T	pid	81.3
312	14	F	pHMM_asn	0.5
313	311	T	pHMM_asp	0.5
314	311	F	pid	85.21
315	313	T	LEAF_NODE	NA
316	313	F	LEAF_NODE	NA
317	314	T	prediCAT_MP_asn	0.5
318	314	F	prediCAT_MP_no_call	0.5
319	317	T	LEAF_NODE	NA
320	317	F	LEAF_NODE	NA
321	318	T	LEAF_NODE	NA
322	318	F	LEAF_NODE	NA
323	312	T	LEAF_NODE	NA
324	312	F	LEAF_NODE	NA
325	12	T	prediCAT_SNN_dhabu	0.5
326	12	F	LEAF_NODE	NA
327	325	T	prediCAT_SNN_d-athr	0.5
328	325	F	pid	90.66
329	327	T	prediCAT_SNN_deoxy-thr	0.5
330	327	F	pHMM_dhabu	0.5
331	329	T	pid	78.255
332	329	F	LEAF_NODE	NA
333	331	T	prediCAT_MP_thr	0.5
334	331	F	pid	99.815
335	333	T	pid	75.49
336	333	F	pid	56.505
337	335	T	pid	62.49
338	335	F	LEAF_NODE	NA
339	337	T	pid	60.465
340	337	F	pid	69.68
341	339	T	pid	50.495
342	339	F	pid	61.79
343	341	T	pid	47.82
344	341	F	pid	51.515
345	343	T	LEAF_NODE	NA
346	343	F	LEAF_NODE	NA
347	344	T	LEAF_NODE	NA
348	344	F	pid	57.925
349	348	T	pid	53.05
350	348	F	LEAF_NODE	NA
351	349	T	LEAF_NODE	NA
352	349	F	LEAF_NODE	NA
353	342	T	LEAF_NODE	NA
354	342	F	LEAF_NODE	NA
355	340	T	pid	65.85
356	340	F	LEAF_NODE	NA
357	355	T	pHMM_thr	0.5
358	355	F	LEAF_NODE	NA
359	357	T	LEAF_NODE	NA
360	357	F	LEAF_NODE	NA
361	336	T	LEAF_NODE	NA
362	336	F	pid	60.46
363	362	T	LEAF_NODE	NA
364	362	F	pid	63.25
365	364	T	LEAF_NODE	NA
366	364	F	pid	67.415
367	366	T	LEAF_NODE	NA
368	366	F	LEAF_NODE	NA
369	334	T	LEAF_NODE	NA
370	334	F	prediCAT_MP_thr	0.5
371	370	T	LEAF_NODE	NA
372	370	F	pHMM_thr	0.5
373	372	T	LEAF_NODE	NA
374	372	F	LEAF_NODE	NA
375	330	T	LEAF_NODE	NA
376	330	F	LEAF_NODE	NA
377	328	T	LEAF_NODE	NA
378	328	F	LEAF_NODE	NA
379	10	T	LEAF_NODE	NA
380	10	F	pid	65.3
381	380	T	pid	59.975
382	380	F	LEAF_NODE	NA
383	381	T	pid	53.675
384	381	F	prediCAT_MP_gly	0.5
385	383	T	LEAF_NODE	NA
386	383	F	pid	54.715
387	386	T	LEAF_NODE	NA
388	386	F	prediCAT_MP_gly	0.5
389	388	T	pid	56.175
390	388	F	LEAF_NODE	NA
391	389	T	LEAF_NODE	NA
392	389	F	LEAF_NODE	NA
393	384	T	pid	62.245
394	384	F	LEAF_NODE	NA
395	393	T	LEAF_NODE	NA
396	393	F	LEAF_NODE	NA
397	8	T	pHMM_abu|iva	0.5
398	8	F	LEAF_NODE	NA
399	397	T	prediCAT_SNN_ala	0.5
400	397	F	LEAF_NODE	NA
401	399	T	pid	70.595
402	399	F	prediCAT_MP_no_call	0.5
403	401	T	pid	62.82
404	401	F	prediCAT_MP_no_call	0.5
405	403	T	pid	62.55
406	403	F	LEAF_NODE	NA
407	405	T	pid	55.655
408	405	F	LEAF_NODE	NA
409	407	T	pid	47.94
410	407	F	LEAF_NODE	NA
411	409	T	LEAF_NODE	NA
412	409	F	LEAF_NODE	NA
413	404	T	LEAF_NODE	NA
414	404	F	LEAF_NODE	NA
415	402	T	LEAF_NODE	NA
416	402	F	LEAF_NODE	NA
417	6	T	prediCAT_SNN_leu	0.5
418	6	F	pid	88.285
419	417	T	pid	62.145
420	417	F	LEAF_NODE	NA
